SE_above_0.9_unique_values
C0000727
C0000731
C0000734
C0000737
C0000768
C0000772
C0000786
C0000814
C0000832
C0000833
C0000889
C0000924
C0001122
C0001125
C0001126
C0001127
C0001261
C0001339
C0001403
C0001418
C0001430
C0001486
C0001546
C0001621
C0001622
C0001623
C0001707
C0001807
C0001816
C0001818
C0001824
C0001925
C0001948
C0001957
C0001973
C0002063
C0002064
C0002170
C0002390
C0002395
C0002418
C0002453
C0002622
C0002624
C0002625
C0002726
C0002792
C0002871
C0002873
C0002874
C0002878
C0002880
C0002884
C0002886
C0002888
C0002902
C0002940
C0002949
C0002950
C0002957
C0002962
C0002963
C0002965
C0002985
C0002994
C0003028
C0003044
C0003079
C0003126
C0003130
C0003431
C0003460
C0003467
C0003469
C0003486
C0003493
C0003496
C0003504
C0003507
C0003537
C0003564
C0003578
C0003611
C0003615
C0003621
C0003635
C0003708
C0003811
C0003813
C0003834
C0003838
C0003850
C0003857
C0003860
C0003862
C0003864
C0003868
C0003869
C0003872
C0003873
C0003886
C0003892
C0003962
C0004031
C0004044
C0004045
C0004076
C0004093
C0004095
C0004096
C0004099
C0004114
C0004134
C0004144
C0004238
C0004239
C0004245
C0004331
C0004364
C0004377
C0004601
C0004604
C0004610
C0004623
C0004626
C0004659
C0004691
C0004763
C0004930
C0004936
C0005424
C0005558
C0005586
C0005683
C0005684
C0005686
C0005695
C0005697
C0005716
C0005741
C0005745
C0005747
C0005758
C0005779
C0005818
C0005826
C0005841
C0005940
C0005944
C0005956
C0005959
C0005967
C0006079
C0006105
C0006107
C0006110
C0006112
C0006118
C0006142
C0006144
C0006145
C0006147
C0006152
C0006157
C0006261
C0006266
C0006267
C0006271
C0006272
C0006277
C0006285
C0006325
C0006384
C0006430
C0006435
C0006444
C0006625
C0006663
C0006705
C0006818
C0006826
C0006840
C0006846
C0006849
C0006905
C0007095
C0007102
C0007114
C0007115
C0007117
C0007131
C0007134
C0007137
C0007138
C0007166
C0007177
C0007193
C0007194
C0007196
C0007222
C0007274
C0007280
C0007282
C0007286
C0007361
C0007384
C0007398
C0007435
C0007642
C0007758
C0007760
C0007766
C0007780
C0007785
C0007787
C0007820
C0007859
C0007860
C0007863
C0007868
C0007876
C0007933
C0007971
C0008031
C0008033
C0008049
C0008149
C0008297
C0008301
C0008311
C0008313
C0008325
C0008350
C0008370
C0008489
C0008513
C0008522
C0008526
C0008626
C0008677
C0008707
C0008733
C0008909
C0008925
C0009024
C0009062
C0009088
C0009144
C0009186
C0009193
C0009241
C0009274
C0009319
C0009324
C0009326
C0009375
C0009377
C0009421
C0009450
C0009460
C0009492
C0009663
C0009676
C0009759
C0009760
C0009763
C0009782
C0009806
C0009917
C0009918
C0009938
C0009946
C0009952
C0010032
C0010034
C0010036
C0010037
C0010038
C0010043
C0010054
C0010055
C0010072
C0010073
C0010200
C0010266
C0010278
C0010308
C0010346
C0010399
C0010403
C0010414
C0010417
C0010418
C0010481
C0010495
C0010520
C0010674
C0010692
C0010709
C0010823
C0010828
C0011053
C0011057
C0011071
C0011124
C0011127
C0011168
C0011175
C0011206
C0011251
C0011253
C0011269
C0011304
C0011331
C0011334
C0011370
C0011432
C0011551
C0011570
C0011603
C0011606
C0011609
C0011615
C0011616
C0011620
C0011630
C0011633
C0011636
C0011644
C0011848
C0011849
C0011854
C0011860
C0011880
C0011881
C0011882
C0011884
C0011946
C0011991
C0012569
C0012624
C0012691
C0012739
C0012746
C0012813
C0012817
C0012833
C0013132
C0013146
C0013182
C0013220
C0013274
C0013295
C0013298
C0013312
C0013362
C0013369
C0013378
C0013384
C0013390
C0013395
C0013404
C0013428
C0013447
C0013456
C0013473
C0013491
C0013528
C0013537
C0013595
C0013604
C0013608
C0013609
C0013778
C0013781
C0013922
C0013926
C0013928
C0013931
C0014009
